Partlist

Exported from hackeeg-shield.sch at 8-4-2022 15:44

EAGLE Version 9.6.2 Copyright (c) 1988-2020 Autodesk, Inc.

Assembly variant: 

Part     Value             Device            Package                    Library                    Sheet
R44      4.99k             RESISTOR0603-RES  0603-RES                   SparkFun-Passives          2
R45      4.99k             RESISTOR0603-RES  0603-RES                   SparkFun-Passives          2
R46      4.99k             RESISTOR0603-RES  0603-RES                   SparkFun-Passives          2
R47      4.99k             RESISTOR0603-RES  0603-RES                   SparkFun-Passives          2
R48      4.99k             RESISTOR0603-RES  0603-RES                   SparkFun-Passives          2
R49      4.99k             RESISTOR0603-RES  0603-RES                   SparkFun-Passives          2
SJ2                        SJ2W              SJ_2                       jumper                     3
SJ3                        SJ2W              SJ_2                       jumper                     3
SJ4                        SJ2W              SJ_2                       jumper                     1
SW1      SPST_TACT-EVQQ2   SPST_TACT-EVQQ2   EVQ-Q2                     adafruit                   1
TP1      AVDD_TEST_POINT   PINHD-1X1         1X01                       adafruit                   1
TP3      AGND_TEST_POINT   PINHD-1X1         1X01                       adafruit                   1
TP4      VREFP_TEST_POINT  PINHD-1X1         1X01                       adafruit                   1
U1       R1SE-0505-R       R1SE-0505-R       R1SE-0505-R_RCP            R1SE-0505-R                3
U2       MAX14483AAP+      MAX14483AAP+      21-0056C_20_MXM            MAX14483AAP                3
U3       ADP151AUJZ-3.3    ADP151AUJZ-3.3    UJ_5_ADI                   ADP151AUJZ-3.3             1
U4       ADP151AUJZ-3.3    ADP151AUJZ-3.3    UJ_5_ADI                   ADP151AUJZ-3.3             1
U5       NUCLEO-F429ZI     NUCLEO-F429ZI     MODULE_NUCLEO-F429ZI       NUCLEO-F429ZI              4
